TC,A,B,C,Output1,Output2,Result
TC01,2000,425,1125,55250,55250,Pass
TC02,2000,425,2375,80250,80250,Pass
TC03,2000,425,350,-1,-1,Pass
TC04,2000,425,3500,-1,102750,Fail
TC05,2000,675,1125,62750,62750,Pass
TC06,2000,675,2375,87750,87750,Pass
TC07,2000,675,350,-1,-1,Pass
TC08,2000,675,3500,-1,110250,Fail
TC09,2000,250,1125,-1,-1,Pass
TC10,2000,250,2375,-1,-1,Pass
TC11,2000,250,350,-1,-1,Pass
TC12,2000,250,3500,-1,-1,Pass
TC13,2000,900,1125,-1,69500,Fail
TC14,2000,900,2375,-1,94500,Fail
TC15,2000,900,350,-1,-1,Pass
TC16,2000,900,3500,-1,117000,Fail
TC17,4000,425,1125,75250,75250,Pass
TC18,4000,425,2375,100250,100250,Pass
TC19,4000,425,350,-1,-1,Pass
TC20,4000,425,3500,-1,122750,Fail
TC21,4000,675,1125,82750,82750,Pass
TC22,4000,675,2375,107750,107750,Pass
TC23,4000,675,350,-1,-1,Pass
TC24,4000,675,3500,-1,130250,Fail
TC25,4000,250,1125,-1,-1,Pass
TC26,4000,250,2375,-1,-1,Pass
TC27,4000,250,350,-1,-1,Pass
TC28,4000,250,3500,-1,-1,Pass
TC29,4000,900,1125,-1,89500,Fail
TC30,4000,900,2375,-1,114500,Fail
TC31,4000,900,350,-1,-1,Pass
TC32,4000,900,3500,-1,137000,Fail
TC33,850,425,1125,-1,-1,Pass
TC34,850,425,2375,-1,-1,Pass
TC35,850,425,350,-1,-1,Pass
TC36,850,425,3500,-1,-1,Pass
TC37,850,675,1125,-1,-1,Pass
TC38,850,675,2375,-1,-1,Pass
TC39,850,675,350,-1,-1,Pass
TC40,850,675,3500,-1,-1,Pass
TC41,850,250,1125,-1,-1,Pass
TC42,850,250,2375,-1,-1,Pass
TC43,850,250,350,-1,-1,Pass
TC44,850,250,3500,-1,-1,Pass
TC45,850,900,1125,-1,-1,Pass
TC46,850,900,2375,-1,-1,Pass
TC47,850,900,350,-1,-1,Pass
TC48,850,900,3500,-1,-1,Pass
TC49,5500,425,1125,-1,90250,Fail
TC50,5500,425,2375,-1,115250,Fail
TC51,5500,425,350,-1,-1,Pass
TC52,5500,425,3500,-1,137750,Fail
TC53,5500,675,1125,-1,97750,Fail
TC54,5500,675,2375,-1,122750,Fail
TC55,5500,675,350,-1,-1,Pass
TC56,5500,675,3500,-1,145250,Fail
TC57,5500,250,1125,-1,-1,Pass
TC58,5500,250,2375,-1,-1,Pass
TC59,5500,250,350,-1,-1,Pass
TC60,5500,250,3500,-1,-1,Pass
TC61,5500,900,1125,-1,104500,Fail
TC62,5500,900,2375,-1,129500,Fail
TC63,5500,900,350,-1,-1,Pass
TC64,5500,900,3500,-1,152000,Fail